TID,Comment,EngName,LocalName,Type,Kind,Property,Level,Grade,Race,Gender,LimitLevel,LimitSTR,LimitCON,LimitWIS,LimitMEN,LimitAgility,LimitMainWeapon,LimitFamePointTID,ReqWeaponLevel,PenaltyRate,Area,PowerRangeMax,RelativeClass,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS,SetTID,CoolTime,UseSkillTID,LearnSkillTID,SocketTID,Socket,CashSocket,RecipeTID,EnchantTID,EnchantStepMax,SeedOption,Cash,SpecialTID,SpecialValue,AlchemyValue,AlchemyTID,MixTID,BreakTID,BoxTID,QuestTID,SalePrice,PurchasePrice,SaleFamePoint,PurchaseFamePoint,ReqMedalKind,SaleMedal,PurchaseMedal,ItemRestrict,StackCount,MaxCount,Consume,BindType,UnBindCount,Stoppable,MaxDurability,MinDurability,Crash,DecreationDurability,Repairable,ItemMeshLeft,ItemMeshRight,ItemMeshScale,UseEffect,UseSound,TreeDeps_01,TreeDeps_02,ItemIcon,EngDesc,LocalDesc
2456602,第7轮 戴穆里申-重甲,ITM_Name_013055,平凡的勇士长靴,1,5,0,28,1,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,46,0,0,23,0,0,0,0,0,0,539,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25400,6,0,0,0,,,,0,5103,0,0,495,4950,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,1,p_o_02_b_m_foot_lod.nif|p_m_02_b_m_foot_lod.nif,p_o_02_b_f_foot_lod.nif|p_m_02_b_f_foot_lod.nif,,,,2,5,17404,ITM_Desc_013055,
2456611,第7轮 戴穆里申-重甲,ITM_Name_013056,高级的守卫长靴,1,5,0,28,2,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,76,6,0,26,0,0,0,0,0,0,629,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25400,10,0,0,0,,,,0,5203,0,0,675,6750,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,1,1,p_o_02_b_m_foot_lod.nif|p_m_02_b_m_foot_lod.nif,p_o_02_b_f_foot_lod.nif|p_m_02_b_f_foot_lod.nif,,,,2,5,17404,ITM_Desc_013056,
2456612,第7轮 戴穆里申-重甲,ITM_Name_013057,高级的勇士长靴,1,5,0,28,2,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,51,0,0,26,0,0,0,0,0,0,599,185,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25400,10,0,0,0,,,,0,5203,0,0,675,6750,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,1,1,p_o_02_b_m_foot_lod.nif|p_m_02_b_m_foot_lod.nif,p_o_02_b_f_foot_lod.nif|p_m_02_b_f_foot_lod.nif,,,,2,5,17404,ITM_Desc_013057,
2456621,第7轮 戴穆里申-重甲,ITM_Name_013058,珍贵的守卫长靴,1,5,0,28,3,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,91,8,0,31,0,0,0,0,0,0,755,222,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25400,10,0,0,0,,,,0,5303,0,0,900,9000,0,0,0,0,0,0,0,0,0,2,7,0,235,0,0,0,1,p_o_02_c_m_foot_lod.nif|p_m_02_c_m_foot_lod.nif,p_o_02_c_f_foot_lod.nif|p_m_02_c_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013058,
2456622,第7轮 戴穆里申-重甲,ITM_Name_013059,珍贵的勇士长靴,1,5,0,28,3,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,61,0,0,31,0,0,0,0,0,0,719,222,0,0,0,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25400,10,0,0,0,,,,0,5303,0,0,900,9000,0,0,0,0,0,0,0,0,0,2,7,0,235,0,0,0,1,p_o_02_c_m_foot_lod.nif|p_m_02_c_m_foot_lod.nif,p_o_02_c_f_foot_lod.nif|p_m_02_c_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013059,
2456631,第7轮 戴穆里申-重甲,ITM_Name_013060,特别的守卫长靴,1,5,0,28,4,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,3,0,0,0,98,8,0,34,0,0,0,0,0,0,817,240,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25400,10,0,0,0,,,,0,5403,0,0,1350,13500,0,0,0,0,0,0,0,0,0,2,7,0,235,0,0,0,1,p_o_02_c_m_foot_uni.bif|p_m_02_c_m_foot_uni.bif,p_o_02_c_f_foot_uni.bif|p_m_02_c_f_foot_uni.bif,,,,2,5,57406,ITM_Desc_013060,
2456632,第7轮 戴穆里申-重甲,ITM_Name_013061,特别的勇士长靴,1,5,0,28,4,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,66,0,0,34,0,0,0,0,0,0,779,240,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25400,10,0,0,0,,,,0,5403,0,0,1350,13500,0,0,0,0,0,0,0,0,0,2,7,0,235,0,0,0,1,p_o_02_c_m_foot_uni.bif|p_m_02_c_m_foot_uni.bif,p_o_02_c_f_foot_uni.bif|p_m_02_c_f_foot_uni.bif,,,,2,5,57406,ITM_Desc_013061,
2456651,第7轮 戴穆里申-重甲,ITM_Name_013062,破旧的山贼长靴 (制作),1,5,0,28,0,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25400,3,0,0,0,,,,0,0,0,0,450,4500,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,1,p_o_02_a_m_foot_lod.nif|p_m_02_a_m_foot_lod.nif,p_o_02_a_f_foot_lod.nif|p_m_02_a_f_foot_lod.nif,,,,2,5,17402,ITM_Desc_013062,
2456652,第7轮 戴穆里申-重甲,ITM_Name_013063,平凡的守卫长靴(制作),1,5,0,28,1,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,79,0,0,27,0,0,0,0,0,0,654,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25400,6,0,0,0,,,,0,5103,0,0,495,4950,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,1,p_o_02_b_m_foot_lod.nif|p_m_02_b_m_foot_lod.nif,p_o_02_b_f_foot_lod.nif|p_m_02_b_f_foot_lod.nif,,,,2,5,17404,ITM_Desc_013063,
2456653,第7轮 戴穆里申-重甲,ITM_Name_013064,平凡的勇士长靴(制作),1,5,0,28,1,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,53,0,0,27,0,0,0,0,0,0,623,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25400,6,0,0,0,,,,0,5103,0,0,495,4950,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,1,p_o_02_b_m_foot_lod.nif|p_m_02_b_m_foot_lod.nif,p_o_02_b_f_foot_lod.nif|p_m_02_b_f_foot_lod.nif,,,,2,5,17404,ITM_Desc_013064,
2456654,第7轮 戴穆里申-重甲,ITM_Name_013065,高级的守卫长靴(制作),1,5,0,28,2,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,90,7,0,31,0,0,0,0,0,0,748,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25400,10,0,0,0,,,,0,5203,0,0,675,6750,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,1,1,p_o_02_b_m_foot_lod.nif|p_m_02_b_m_foot_lod.nif,p_o_02_b_f_foot_lod.nif|p_m_02_b_f_foot_lod.nif,,,,2,5,17404,ITM_Desc_013065,
2456655,第7轮 戴穆里申-重甲,ITM_Name_013066,高级的勇士长靴(制作),1,5,0,28,2,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,60,0,0,31,0,0,0,0,0,0,713,220,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25400,10,0,0,0,,,,0,5203,0,0,675,6750,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,1,1,p_o_02_b_m_foot_lod.nif|p_m_02_b_m_foot_lod.nif,p_o_02_b_f_foot_lod.nif|p_m_02_b_f_foot_lod.nif,,,,2,5,17404,ITM_Desc_013066,
2456656,第7轮 戴穆里申-重甲,ITM_Name_013067,珍贵的守卫长靴(制作),1,5,0,28,3,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,97,8,0,33,0,0,0,0,0,0,811,239,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25400,10,0,0,0,,,,0,5303,0,0,900,9000,0,0,0,0,0,0,0,0,0,2,7,0,235,0,0,0,1,p_o_02_c_m_foot_lod.nif|p_m_02_c_m_foot_lod.nif,p_o_02_c_f_foot_lod.nif|p_m_02_c_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013067,
2456657,第7轮 戴穆里申-重甲,ITM_Name_013068,珍贵的勇士长靴(制作),1,5,0,28,3,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,65,0,0,33,0,0,0,0,0,0,773,239,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25400,10,0,0,0,,,,0,5303,0,0,900,9000,0,0,0,0,0,0,0,0,0,2,7,0,235,0,0,0,1,p_o_02_c_m_foot_lod.nif|p_m_02_c_m_foot_lod.nif,p_o_02_c_f_foot_lod.nif|p_m_02_c_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013068,
2456658,第7轮 戴穆里申-重甲,ITM_Name_013069,特别的守卫长靴(制作),1,5,0,28,4,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,0,3,0,0,0,98,8,0,34,0,0,0,0,0,0,880,259,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25400,10,0,0,0,,,,0,5403,0,0,1350,13500,0,0,0,0,0,0,0,0,0,2,7,0,235,0,0,0,1,p_o_02_c_m_foot_uni.bif|p_m_02_c_m_foot_uni.bif,p_o_02_c_f_foot_uni.bif|p_m_02_c_f_foot_uni.bif,,,,2,5,57406,ITM_Desc_013069,
2456659,第7轮 戴穆里申-重甲,ITM_Name_013070,特别的勇士长靴(制作),1,5,0,28,4,4|2,0,28,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,66,0,0,34,0,0,0,0,0,0,839,259,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25400,10,0,0,0,,,,0,5403,0,0,1350,13500,0,0,0,0,0,0,0,0,0,2,7,0,235,0,0,0,1,p_o_02_c_m_foot_uni.bif|p_m_02_c_m_foot_uni.bif,p_o_02_c_f_foot_uni.bif|p_m_02_c_f_foot_uni.bif,,,,2,5,57406,ITM_Desc_013070,
2456700,第8轮 戴穆里申-重甲,ITM_Name_013071,破旧的恶徒长靴,1,5,0,33,0,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25450,3,0,0,0,,,,0,0,0,0,613,6130,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,1,p_o_03_a_m_foot_lod.nif|p_m_03_a_m_foot_lod.nif,p_o_03_a_f_foot_lod.nif|p_m_03_a_f_foot_lod.nif,,,,2,5,17403,ITM_Desc_013071,
2456701,第8轮 戴穆里申-重甲,ITM_Name_013072,平凡的庇护长靴,1,5,0,33,1,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,80,0,0,27,0,0,0,0,0,0,667,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,6,0,0,0,,,,0,5104,0,0,674,6740,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013072,
2456702,第8轮 戴穆里申-重甲,ITM_Name_013073,平凡的杀生长靴,1,5,0,33,1,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,54,0,0,27,0,0,0,0,0,0,635,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,6,0,0,0,,,,0,5104,0,0,674,6740,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013073,
2456711,第8轮 戴穆里申-重甲,ITM_Name_013074,高级的庇护长靴,1,5,0,33,2,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,89,7,0,30,0,0,0,0,0,0,741,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,10,0,0,0,,,,0,5204,0,0,919,9190,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,1,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013074,
2456712,第8轮 戴穆里申-重甲,ITM_Name_013075,高级的杀生长靴,1,5,0,33,2,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,60,0,0,30,0,0,0,0,0,0,706,218,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,10,0,0,0,,,,0,5204,0,0,919,9190,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,1,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013075,
2456721,第8轮 戴穆里申-重甲,ITM_Name_013076,珍贵的庇护长靴,1,5,0,33,3,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,107,9,0,36,0,0,0,0,0,0,889,261,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5304,0,0,1225,12250,0,0,0,0,0,0,0,0,0,2,7,0,282,0,0,0,1,p_o_03_c_m_foot_lod.nif|p_m_03_c_m_foot_lod.nif,p_o_03_c_f_foot_lod.nif|p_m_03_c_f_foot_lod.nif,,,,2,5,17409,ITM_Desc_013076,
2456722,第8轮 戴穆里申-重甲,ITM_Name_013077,珍贵的杀生长靴,1,5,0,33,3,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,71,0,0,36,0,0,0,0,0,0,847,261,0,0,0,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5304,0,0,1225,12250,0,0,0,0,0,0,0,0,0,2,7,0,282,0,0,0,1,p_o_03_c_m_foot_lod.nif|p_m_03_c_m_foot_lod.nif,p_o_03_c_f_foot_lod.nif|p_m_03_c_f_foot_lod.nif,,,,2,5,17409,ITM_Desc_013077,
2456731,第8轮 戴穆里申-重甲,ITM_Name_013078,特别的庇护长靴,1,5,0,33,4,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,4,0,0,0,116,9,0,39,0,0,0,0,0,0,963,283,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5404,0,0,1838,18380,0,0,0,0,0,0,0,0,0,2,7,0,282,0,0,0,1,p_o_03_c_m_foot_uni.bif|p_m_03_c_m_foot_uni.bif,p_o_03_c_f_foot_uni.bif|p_m_03_c_f_foot_uni.bif,,,,2,5,57409,ITM_Desc_013078,
2456732,第8轮 戴穆里申-重甲,ITM_Name_013079,特别的杀生长靴,1,5,0,33,4,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,4,0,0,0,0,77,0,0,39,0,0,0,0,0,0,918,283,0,0,0,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5404,0,0,1838,18380,0,0,0,0,0,0,0,0,0,2,7,0,282,0,0,0,1,p_o_03_c_m_foot_uni.bif|p_m_03_c_m_foot_uni.bif,p_o_03_c_f_foot_uni.bif|p_m_03_c_f_foot_uni.bif,,,,2,5,57409,ITM_Desc_013079,
2456751,第8轮 戴穆里申-重甲,ITM_Name_013080,破旧的恶徒长靴 (制作),1,5,0,33,0,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25450,3,0,0,0,,,,0,0,0,0,613,6130,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,1,p_o_03_a_m_foot_lod.nif|p_m_03_a_m_foot_lod.nif,p_o_03_a_f_foot_lod.nif|p_m_03_a_f_foot_lod.nif,,,,2,5,17403,ITM_Desc_013080,
2456752,第8轮 戴穆里申-重甲,ITM_Name_013081,平凡的庇护长靴(制作),1,5,0,33,1,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,92,0,0,31,0,0,0,0,0,0,770,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,6,0,0,0,,,,0,5104,0,0,674,6740,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013081,
2456753,第8轮 戴穆里申-重甲,ITM_Name_013082,平凡的杀生长靴(制作),1,5,0,33,1,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,62,0,0,31,0,0,0,0,0,0,734,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,6,0,0,0,,,,0,5104,0,0,674,6740,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013082,
2456754,第8轮 戴穆里申-重甲,ITM_Name_013083,高级的庇护长靴(制作),1,5,0,33,2,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,106,9,0,36,0,0,0,0,0,0,882,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,10,0,0,0,,,,0,5204,0,0,919,9190,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,1,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013083,
2456755,第8轮 戴穆里申-重甲,ITM_Name_013084,高级的杀生长靴(制作),1,5,0,33,2,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,71,0,0,36,0,0,0,0,0,0,840,259,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,10,0,0,0,,,,0,5204,0,0,919,9190,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,1,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013084,
2456756,第8轮 戴穆里申-重甲,ITM_Name_013085,珍贵的庇护长靴(制作),1,5,0,33,3,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,115,9,0,39,0,0,0,0,0,0,956,281,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5304,0,0,1225,12250,0,0,0,0,0,0,0,0,0,2,7,0,282,0,0,0,1,p_o_03_c_m_foot_lod.nif|p_m_03_c_m_foot_lod.nif,p_o_03_c_f_foot_lod.nif|p_m_03_c_f_foot_lod.nif,,,,2,5,17409,ITM_Desc_013085,
2456757,第8轮 戴穆里申-重甲,ITM_Name_013086,珍贵的杀生长靴(制作),1,5,0,33,3,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,77,0,0,39,0,0,0,0,0,0,910,281,0,0,0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5304,0,0,1225,12250,0,0,0,0,0,0,0,0,0,2,7,0,282,0,0,0,1,p_o_03_c_m_foot_lod.nif|p_m_03_c_m_foot_lod.nif,p_o_03_c_f_foot_lod.nif|p_m_03_c_f_foot_lod.nif,,,,2,5,17409,ITM_Desc_013086,
2456758,第8轮 戴穆里申-重甲,ITM_Name_013087,特别的庇护长靴(制作),1,5,0,33,4,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,0,4,0,0,0,124,10,0,42,0,0,0,0,0,0,1037,305,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5404,0,0,1838,18380,0,0,0,0,0,0,0,0,0,2,7,0,282,0,0,0,1,p_o_03_c_m_foot_uni.bif|p_m_03_c_m_foot_uni.bif,p_o_03_c_f_foot_uni.bif|p_m_03_c_f_foot_uni.bif,,,,2,5,57409,ITM_Desc_013087,
2456759,第8轮 戴穆里申-重甲,ITM_Name_013088,特别的杀生长靴(制作),1,5,0,33,4,4|2,0,33,0,0,0,0,0,,0,0,0,0,0,0,4,0,0,0,0,83,0,0,42,0,0,0,0,0,0,988,305,0,0,0,0,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5404,0,0,1838,18380,0,0,0,0,0,0,0,0,0,2,7,0,282,0,0,0,1,p_o_03_c_m_foot_uni.bif|p_m_03_c_m_foot_uni.bif,p_o_03_c_f_foot_uni.bif|p_m_03_c_f_foot_uni.bif,,,,2,5,57409,ITM_Desc_013088,
2456800,第9轮 戴穆里申-重甲,ITM_Name_013089,破旧的大恶徒长靴,1,5,0,36,0,4|2,0,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25450,3,0,0,0,,,,0,0,0,0,685,6850,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,1,p_o_03_a_m_foot_lod.nif|p_m_03_a_m_foot_lod.nif,p_o_03_a_f_foot_lod.nif|p_m_03_a_f_foot_lod.nif,,,,2,5,17403,ITM_Desc_013089,
2456801,第9轮 戴穆里申-重甲,ITM_Name_013090,平凡的复仇者长靴,1,5,0,36,1,4|2,0,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,87,0,0,30,0,0,0,0,0,0,727,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,6,0,0,0,,,,0,5104,0,0,753,7530,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013090,
2456802,第9轮 戴穆里申-重甲,ITM_Name_013091,平凡的征伐者长靴,1,5,0,36,1,4|2,0,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,58,0,0,30,0,0,0,0,0,0,693,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,6,0,0,0,,,,0,5104,0,0,753,7530,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013091,
2456811,第9轮 戴穆里申-重甲,ITM_Name_013092,高级的复仇者长靴,1,5,0,36,2,4|2,0,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,97,8,0,33,0,0,0,0,0,0,808,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,10,0,0,0,,,,0,5204,0,0,1027,10270,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,1,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013092,
2456812,第9轮 戴穆里申-重甲,ITM_Name_013093,高级的征伐者长靴,1,5,0,36,2,4|2,0,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,65,0,0,33,0,0,0,0,0,0,770,237,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25450,10,0,0,0,,,,0,5204,0,0,1027,10270,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,1,1,p_o_03_b_m_foot_lod.nif|p_m_03_b_m_foot_lod.nif,p_o_03_b_f_foot_lod.nif|p_m_03_b_f_foot_lod.nif,,,,2,5,17406,ITM_Desc_013093,
2456821,第9轮 戴穆里申-重甲,ITM_Name_013094,珍贵的复仇者长靴,1,5,0,36,3,4|2,0,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,116,9,0,39,0,0,0,0,0,0,970,285,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5304,0,0,1369,13690,0,0,0,0,0,0,0,0,0,2,7,0,297,0,0,0,1,p_o_03_c_m_foot_lod.nif|p_m_03_c_m_foot_lod.nif,p_o_03_c_f_foot_lod.nif|p_m_03_c_f_foot_lod.nif,,,,2,5,17409,ITM_Desc_013094,
2456822,第9轮 戴穆里申-重甲,ITM_Name_013095,珍贵的征伐者长靴,1,5,0,36,3,4|2,0,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,78,0,0,39,0,0,0,0,0,0,924,285,0,0,0,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25450,10,0,0,0,,,,0,5304,0,0,1369,13690,0,0,0,0,0,0,0,0,0,2,7,0,297,0,0,0,1,p_o_03_c_m_foot_lod.nif|p_m_03_c_m_foot_lod.nif,p_o_03_c_f_foot_lod.nif|p_m_03_c_f_foot_lod.nif,,,,2,5,17409,ITM_Desc_013095,
