TID,Comment,Owner,Trigger,Target,Action,ConUnion,ConLevel,ConQuest,Loop,TriggerMessageTarget,TriggerMessage
15002,恶魔的祭坛(攻略)  空间斯蒂尔普瑞斯西门入口 中央的龙之恐惧 出发-> 龙之恐惧到达,Area|50525,OnEnter,Actor,JumpArea|50526,0,0,0,0,,
15003,恶魔的祭坛(攻略)  龙之恐惧 出发-> 龙之恐惧 2层到达,Area|50527,OnEnter,Actor,JumpArea|50528,0,0,0,0,,
15004,恶魔的祭坛(攻略)  死亡的恐惧-> 梦幻的祭坛 到达,Area|50529,OnEnter,Actor,JumpArea|50530,0,0,0,0,,
15005,恶魔的祭坛(攻略) 梦幻的的祭坛-> 死亡的恐惧 到达,Area|50531,OnEnter,Actor,JumpArea|50532,0,0,0,0,,
15006,恶魔的祭坛(攻略)  寒冷的恐怖-> 空间到达,Area|50533,OnEnter,Actor,JumpArea|50534,0,0,0,0,,
15007,恶魔的祭坛(攻略)   中央的龙之恐惧 出发-> 空间到达,Area|50535,OnEnter,Actor,JumpArea|50536,0,0,0,0,,
15008,恶魔的祭坛(攻略)   龙之恐惧 2层 出发->龙之恐惧 中央到达,Area|50537,OnEnter,Actor,JumpArea|50538,0,0,0,0,,
15009,恶魔的祭坛(攻略)  森林之恐惧斯蒂尔普瑞斯西门入口 boss消灭时 空间 和火花的恐惧 移动的 门 2个开,Place|48884,OnDie,Place|49423|49424,ChangeState|2,0,0,0,0,,
15010,恶魔的祭坛(攻略)  寒冷的恐怖斯蒂尔普瑞斯西门入口里面的 进入时 门消失,Area|50543,OnEnter,Place|49425,ChangeState|2,0,0,0,0,,
15011,恶魔的祭坛(攻略)  寒冷的恐怖斯蒂尔普瑞斯西门入口里面的怪物全部消灭时 门开,Place|48927|48928|48933|48931|48934|48932|48929|48930|48938|48936|48937,OnDie,Place|49425,ChangeState|2,0,0,0,0,,
