TID,Type,Kind,WeatherUse,WorldTID,GroupNum,D_X,D_Y,D_Z,Radius,AimRebirthPos,DemolRebirthPos,Comment,EngName,EngSubName,LocalName,LocalSubName,BgmName,BgmLoop,Weather0,Weather1,Weather2,Weather3
20113,0,1,0,2000,1,7601.32,7034.59,111.35,7,,,,ART_Name_000615,ART_Subname_000615,冰封的大地：冰封峡谷-装着手的口袋（离间计（5））,,,0,,,,
20114,0,1,0,2000,1,7467.17,7018,108.16,7,,,,ART_Name_000616,ART_Subname_000616,冰封的大地：冰封峡谷-冰部队开战之鼓（离间计（7））,,,0,,,,
20115,0,1,0,2000,1,7364.25,7019.38,108.32,7,,,,ART_Name_000617,ART_Subname_000617,冰封的大地：冰封峡谷-狼族的号角（离间计（7））,,,0,,,,
20117,0,1,0,2000,1,7549.36,6988.31,111.31,7,,,,ART_Name_000618,ART_Subname_000618,冰封的大地：冰封峡谷-砒石弱化的手杖（破坏砒石）,,,0,,,,
20118,0,1,0,2000,1,7629.66,6799.9,107.41,7,,,,ART_Name_000619,ART_Subname_000619,冰封的大地：冰封峡谷-充满哭声的别馆（用哭声来引诱吧）,,,0,,,,
20119,0,1,0,2000,1,6839.93,6798.37,110.6,7,,,,ART_Name_000620,ART_Subname_000620,冰封的大地：寒霜之湖-冰尾短剑（背叛者为谁而哭）,,,0,,,,
20120,0,1,0,2000,1,6908.39,6901.49,96.73,7,,,,ART_Name_000621,ART_Subname_000621,冰封的大地：寒霜之湖-闪电之杖（揭开短剑的秘密了吧5）,,,0,,,,
20201,0,1,0,2000,1,6038.49,7037.23,71.78,7,,,,ART_Name_000622,ART_Subname_000622,没落的月光平原（在妖精的池塘使用净化剂）,,,0,,,,
20202,0,1,0,2000,1,5794.98,6791.85,96.78,7,,,,ART_Name_000623,ART_Subname_000623,没落的月光平原（在被污染的生命瀑布使用净化剂）,,,0,,,,
20203,0,1,0,2000,1,6426.81,6864.96,86.41,7,,,,ART_Name_000624,ART_Subname_000624,没落的月光平原（在丰饶之树使用净化剂）,,,0,,,,
20204,0,1,0,2000,1,6029.58,7498.72,102.93,7,,,,ART_Name_000625,ART_Subname_000625,摧毁的城市（设置特别战略）,,,0,,,,
20205,0,1,0,2000,1,5933.45,7614.76,87.88,7,,,,ART_Name_000626,ART_Subname_000626,摧毁的城市（使用可疑的药）,,,0,,,,
20206,0,1,0,2000,1,6008.7,7081.12,66.64,7,,,,ART_Name_000627,ART_Subname_000627,没落的月光平原（使用桶装消除剂）,,,0,,,,
20207,0,1,0,2000,1,5728.68,7074.64,84.06,7,,,,ART_Name_000628,ART_Subname_000628,没落的月光平原（使用火焰弹）,,,0,,,,
20208,0,1,0,2000,1,5881.85,6937.42,89.74,7,,,,ART_Name_000629,ART_Subname_000629,没落的月光平原（使用有毒饲料）,,,0,,,,
20209,0,1,0,2000,1,5817.53,6737.9,103.46,7,,,,ART_Name_000630,ART_Subname_000630,没落的月光平原（使用瘟神号装置）,,,0,,,,
20210,0,1,0,2000,1,6046.64,7008.46,72.48,7,,,,ART_Name_000631,ART_Subname_000631,没落的月光平原（使用诱人的香草）,,,0,,,,
20211,0,1,0,2000,1,6266.88,7019.8,74.59,7,,,,ART_Name_000632,ART_Subname_000632,没落的月光平原（使用土质增强剂）,,,0,,,,
20212,0,1,0,2000,1,6563.86,6962.65,75.45,7,,,,ART_Name_000633,ART_Subname_000633,没落的月光平原（使用金属还原剂）,,,0,,,,
20213,0,1,0,2000,1,6467.2,6971.89,72.06,7,,,,ART_Name_000634,ART_Subname_000634,没落的月光平原（使用吸水装置）,,,0,,,,
20214,0,1,0,2000,1,6480.46,7002.39,73.92,7,,,,ART_Name_000635,ART_Subname_000635,没落的月光平原（使用智慧门消除药）,,,0,,,,
20215,0,1,0,2000,1,6370.16,6887.09,80.83,7,,,,ART_Name_000636,ART_Subname_000636,没落的月光平原（使用方向修正）,,,0,,,,
20216,0,1,0,2000,1,6348.98,6694.54,80.8,7,,,,ART_Name_000637,ART_Subname_000637,没落的月光平原（使用过去的蜡烛）,,,0,,,,
20217,0,1,0,2000,1,6391.19,6639.63,73.7,7,,,,ART_Name_000638,ART_Subname_000638,没落的月光平原（使用惊人的手镯）,,,0,,,,
20218,0,1,0,2000,1,6545.57,6754.81,77.01,7,,,,ART_Name_000639,ART_Subname_000639,没落的月光平原（使用撕碎的名单）,,,0,,,,
20219,0,1,0,2000,1,6559.92,6451.79,71.4,7,,,,ART_Name_000640,ART_Subname_000640,没落的月光平原（使用炸弹修正）,,,0,,,,
20220,0,1,0,2000,1,6377.1,6401.33,77.47,7,,,,ART_Name_000641,ART_Subname_000641,没落的月光平原（使用彼此的灵魂石）,,,0,,,,
20221,0,1,0,2000,1,6530.89,6249.85,77.07,7,,,,ART_Name_000642,ART_Subname_000642,没落的月光平原（使用1号魔法咣当）,,,0,,,,
20222,0,1,0,2000,1,6272.11,6262.64,79.4,7,,,,ART_Name_000643,ART_Subname_000643,没落的月光平原（使用2号魔法咣当）,,,0,,,,
20223,0,1,0,2000,1,6277.43,6266.51,79.38,7,,,,ART_Name_000644,ART_Subname_000644,没落的月光平原（使用黄昏之药）,,,0,,,,
20224,0,1,0,2000,1,5954.08,6506.92,72.06,7,,,,ART_Name_000645,ART_Subname_000645,没落的月光平原（使用热陷阱）,,,0,,,,
20225,0,1,0,2000,1,6309.23,6371.89,72.01,7,,,,ART_Name_000646,ART_Subname_000646,没落的月光平原（使用艾林的符咒）,,,0,,,,
20226,0,1,0,2000,1,5743.39,6395.5,111.8,7,,,,ART_Name_000647,ART_Subname_000647,没落的月光平原（使用声音共鸣箱）,,,0,,,,
20227,0,1,0,2000,1,5796.09,6391.08,92.26,7,,,,ART_Name_000648,ART_Subname_000648,没落的月光平原（使用地下通道破坏装置）,,,0,,,,
20228,0,1,0,2000,1,5720.33,6478.23,111.8,7,,,,ART_Name_000649,ART_Subname_000649,没落的月光平原（使用秘密钥匙）,,,0,,,,
20229,0,1,0,2000,1,5857.79,6290.84,72.06,7,,,,ART_Name_000650,ART_Subname_000650,没落的月光平原（使用殷红的装备）,,,0,,,,
20230,0,1,0,2000,1,5882.18,6402.13,82.24,7,,,,ART_Name_000651,ART_Subname_000651,没落的月光平原（使用腐败清除药）,,,0,,,,
20231,0,1,0,2000,1,6388.92,6847.2,86.46,7,,,,ART_Name_000652,ART_Subname_000652,没落的月光平原（使用黑蜡烛）,,,0,,,,
20232,0,1,0,2000,1,6563.24,6428.97,70.4,7,,,,ART_Name_000653,ART_Subname_000653,没落的月光平原（使用喧闹的钟）,,,0,,,,
20233,0,1,0,2000,1,6123.96,6417.39,72.07,7,,,,ART_Name_000654,ART_Subname_000654,没落的月光平原（使用遮蔽膜祛除剂）,,,0,,,,
20301,0,1,0,2000,1,4861.32,8612.5,129.49,7,,,,ART_Name_000655,ART_Subname_000655,战士们的土地（使用万德石的符咒）,,,0,,,,
20302,0,1,0,2000,1,5273.03,8487.05,159.68,7,,,,ART_Name_000656,ART_Subname_000656,战士们的土地（假设计图）,,,0,,,,
20303,0,1,0,2000,1,5369.9,8573.23,209.86,7,,,,ART_Name_000657,ART_Subname_000657,战士们的土地（西莫诺的红水晶）,,,0,,,,
20304,0,1,0,2000,1,5945.85,7845.16,107.57,7,,,,ART_Name_000658,ART_Subname_000658,战士们的土地（召唤蜘蛛的药）,,,0,,,,
20305,0,1,0,2000,1,6031.75,7897.41,124.42,7,,,,ART_Name_000659,ART_Subname_000659,战士们的土地（痛不欲生的药）,,,0,,,,
20306,0,1,0,2000,1,5762.17,7955.83,128.89,7,,,,ART_Name_000660,ART_Subname_000660,战士们的土地（透视粉）,,,0,,,,
20307,0,1,0,2000,1,5690.2,7985.33,130.52,7,,,,ART_Name_000661,ART_Subname_000661,战士们的土地（瞬间干燥剂）,,,0,,,,
20308,0,1,0,2000,1,5706.67,7996.93,130.13,7,,,,ART_Name_000662,ART_Subname_000662,战士们的土地（地热测量仪）,,,0,,,,
20309,0,1,0,2000,1,5718.83,8036.71,131.04,7,,,,ART_Name_000663,ART_Subname_000663,战士们的土地（看穿药）,,,0,,,,
20310,0,1,0,2000,1,5404.75,7780.74,138.65,7,,,,ART_Name_000664,ART_Subname_000664,战士们的土地（检测光的药）,,,0,,,,
20311,0,1,0,2000,1,5569.93,7835.26,132.42,7,,,,ART_Name_000665,ART_Subname_000665,战士们的土地（防御咒术攻击）,,,0,,,,
20312,0,1,0,2000,1,5433.14,8114.17,131.88,7,,,,ART_Name_000666,ART_Subname_000666,战士们的土地（粘腻的陷阱）,,,0,,,,
20313,0,1,0,2000,1,5577.62,8033.46,128.97,7,,,,ART_Name_000667,ART_Subname_000667,战士们的土地（浓度测定仪）,,,0,,,,
20314,0,1,0,2000,1,5292.39,7995.06,131.12,7,,,,ART_Name_000668,ART_Subname_000668,战士们的土地（幻觉中和剂）,,,0,,,,
20315,0,1,0,2000,1,4752.58,8288.85,136.08,7,,,,ART_Name_000669,ART_Subname_000669,战士们的土地（科恩的魔法咔哒）,,,0,,,,
20317,0,1,0,2000,1,4956.21,8310.08,136.01,7,,,,ART_Name_000670,ART_Subname_000670,战士们的土地（共鸣的珠子）,,,0,,,,
20318,0,1,0,2000,1,5040.34,8591.36,147.65,7,,,,ART_Name_000671,ART_Subname_000671,战士们的土地（艾卡德的魔法咔哒）,,,0,,,,
20319,0,1,0,2000,1,4836.13,8529.87,127.67,7,,,,ART_Name_000672,ART_Subname_000672,战士们的土地（闪光弹）,,,0,,,,
20320,0,1,0,2000,1,5169.85,8419.5,169.31,7,,,,ART_Name_000673,ART_Subname_000673,战士们的土地（冷空气的攻击）,,,0,,,,
20321,0,1,0,2000,1,5232.96,8326.93,191.02,7,,,,ART_Name_000674,ART_Subname_000674,战士们的土地（特级网）,,,0,,,,
20322,0,1,0,2000,1,5222.67,8458.99,159,7,,,,ART_Name_000675,ART_Subname_000675,战士们的土地（疑问的召唤任务）,,,0,,,,
20323,0,1,0,2000,1,5427.78,8619.53,204.6,7,,,,ART_Name_000676,ART_Subname_000676,战士们的土地（暴雪风任务）,,,0,,,,
20324,0,1,0,2000,1,5266.17,8570.66,183.96,7,,,,ART_Name_000677,ART_Subname_000677,战士们的土地（信号弹）,,,0,,,,
20325,0,1,0,2000,1,5337.47,8553.19,210.98,7,,,,ART_Name_000678,ART_Subname_000678,战士们的土地（热阻力的药）,,,0,,,,
20328,0,1,0,2000,1,5280.15,7822.04,132.16,7,,,,ART_Name_000679,ART_Subname_000679,战士们的土地（声音记录装置）,,,0,,,,
20329,0,1,0,2000,1,5774.16,7903.94,125.01,7,,,,ART_Name_000680,ART_Subname_000680,战士们的土地（绿色引诱剂）,,,0,,,,
20330,0,1,0,2000,1,5460.26,7898.33,144.77,7,,,,ART_Name_000681,ART_Subname_000681,战士们的土地（不吉利的血）,,,0,,,,
20331,0,1,0,2000,1,5069,8346,128.84,7,,,,ART_Name_000682,ART_Subname_000682,战士们的土地（约束陷阱）,,,0,,,,
20332,0,1,0,2000,1,4875.78,8506.39,124.19,7,,,,ART_Name_000683,ART_Subname_000683,战士们的土地（混乱的烟幕）,,,0,,,,
20333,0,1,0,2000,1,4936.41,8011.95,143.62,7,,,,ART_Name_000684,ART_Subname_000684,银光庭院：花园之路-果然是荣耀吗？（新鲜药）,,,0,,,,
20334,0,1,0,2000,1,4726.42,8048.96,135.37,7,,,,ART_Name_000685,ART_Subname_000685,银光庭院：花园之路-法雷尔莱德致命的声音（叮当钟）,,,0,,,,
20335,0,1,0,2000,1,4751.09,7917.78,113.58,7,,,,ART_Name_000686,ART_Subname_000686,银光庭院：花园之路-莫斯罗姆清除（艾普洒水）,,,0,,,,
20336,0,1,0,2000,1,4905.09,7724.18,129.28,7,,,,ART_Name_000687,ART_Subname_000687,银光庭院：花园之路-温度上升（摩尼测温器）,,,0,,,,
20337,0,1,0,2000,1,4822.57,7776.75,111.57,7,,,,ART_Name_000688,ART_Subname_000688,银光庭院：花园之路-种树（银光小树）,,,0,,,,
20338,0,1,0,2000,1,4999.93,7597.48,126.65,7,,,,ART_Name_000689,ART_Subname_000689,银光庭院：树林之路-水田荣耀之路（破坏荣耀之路栏杆）,,,0,,,,
20339,0,1,0,2000,1,4722.65,7345.38,101.14,7,,,,ART_Name_000690,ART_Subname_000690,银光庭院：树林之路-特里皮特驻地（特里皮特驻地栏杆）,,,0,,,,
20340,0,1,0,2000,1,4832.77,7391.05,110.3,7,,,,ART_Name_000691,ART_Subname_000691,银光庭院：树林之路-使之变干燥吧（干燥剂）,,,0,,,,
20341,0,1,0,2000,1,5091.09,7509.44,104.78,7,,,,ART_Name_000692,ART_Subname_000692,银光庭院：树林之路-流动的水晶（流动的水晶）,,,0,,,,
20342,0,1,0,2000,1,4899.76,7384.52,98.95,7,,,,ART_Name_000693,ART_Subname_000693,银光庭院：树林之路-诱引阿贝卡勒（雷香药）,,,0,,,,
20343,0,1,0,2000,1,4817.81,7301.82,96.83,7,,,,ART_Name_000694,ART_Subname_000694,银光庭院：树林之路-镜子药（镜子药）,,,0,,,,
20344,0,1,0,2000,1,5237.82,7559.96,103.24,7,,,,ART_Name_000695,ART_Subname_000695,银光庭院：石塔之路-魔法气温分析（五色分析器）,,,0,,,,
20345,0,1,0,2000,1,5233.78,7553.87,102.32,7,,,,ART_Name_000696,ART_Subname_000696,银光庭院：石塔之路-破坏布尔兰特之蛋（德伊雷振动器）,,,0,,,,
20346,0,1,0,2000,1,5296.81,7381.35,99.38,7,,,,ART_Name_000697,ART_Subname_000697,银光庭院：石塔之路-引诱普尔格拉（光碟花团）,,,0,,,,
20347,0,1,0,2000,1,5192.35,7476.96,106.53,7,,,,ART_Name_000698,ART_Subname_000698,银光庭院：石塔之路-建立临时方案吧（临时方案）,,,0,,,,
20348,0,1,0,2000,1,5521.41,7578.75,111.42,7,,,,ART_Name_000699,ART_Subname_000699,银光庭院：石塔之路-魔法生物致命的药（肯塔伍露丝祖传秘药）,,,0,,,,
20349,0,1,0,2000,1,5547.43,7544.77,110.76,7,,,,ART_Name_000700,ART_Subname_000700,银光庭院：石塔之路-斩断钢铁吧（旋涡制造器）,,,0,,,,
20350,0,1,0,2000,1,5462.39,7475.97,99.19,7,,,,ART_Name_000701,ART_Subname_000701,银光庭院：石塔之路-种下种子吧（肯塔伍露丝种子）,,,0,,,,
20351,0,1,0,2000,1,5455.51,7585.53,107.96,7,,,,ART_Name_000702,ART_Subname_000702,银光庭院：石塔之路-救活土地吧（漆土粉末）,,,0,,,,
20352,0,1,0,2000,1,5468.34,7199.6,135.14,7,,,,ART_Name_000703,ART_Subname_000703,银光庭院：石塔之路-埋下符咒吧（肯塔伍露丝符咒）,,,0,,,,
20353,0,1,0,2000,1,5473.69,7046.33,95.68,7,,,,ART_Name_000704,ART_Subname_000704,银光庭院：喷泉之路-消灭痛苦吧（紧张之杖）,,,0,,,,
20354,0,1,0,2000,1,5202.54,7070.99,91.06,7,,,,ART_Name_000705,ART_Subname_000705,银光庭院：喷泉之路-杰德的武器（杰德之棍）,,,0,,,,
20355,0,1,0,2000,1,5311.45,6959.53,65.63,50,,,,ART_Name_000706,ART_Subname_000706,银光庭院：喷泉之路-（烟火弹）,,,0,,,,
20356,0,1,0,2000,1,5324.39,6932.92,66.07,7,,,,ART_Name_000707,ART_Subname_000707,银光庭院：喷泉之路-阻止变化吧（灿烂的水晶）,,,0,,,,
20357,0,1,0,2000,1,5499.15,6888.41,84.69,7,,,,ART_Name_000708,ART_Subname_000708,银光庭院：喷泉之路-尸体调查（B.S.I调查设备）,,,0,,,,
20358,0,1,0,2000,1,5508.43,6901.76,84.17,7,,,,ART_Name_000709,ART_Subname_000709,银光庭院：喷泉之路-人工骷髅虫（人工骷髅虫制作设备）,,,0,,,,
20359,0,1,0,2000,1,5426.7,6908.61,85.41,7,,,,ART_Name_000710,ART_Subname_000710,银光庭院：喷泉之路-品尝（黑火）,,,0,,,,
20360,0,1,0,2000,1,5383.06,6816.07,75.47,7,,,,ART_Name_000711,ART_Subname_000711,银光庭院：喷泉之路-拍哥布林天空之城（奎恩的魔法咔哒）,,,0,,,,
20361,0,1,0,2000,1,5327.07,6828.12,77.46,7,,,,ART_Name_000712,ART_Subname_000712,银光庭院：喷泉之路-净化自然喷泉吧（孤独净化剂）,,,0,,,,
20362,0,1,0,2000,1,5430.58,6847.92,80.46,7,,,,ART_Name_000713,ART_Subname_000713,银光庭院：喷泉之路-临时捷径（活力剂）,,,0,,,,
20363,0,1,0,2000,1,5001.06,6871.03,110.39,7,,,,ART_Name_000714,ART_Subname_000714,银光庭院：殿堂之路-抑制扩散（还俗药）,,,0,,,,
20364,0,1,0,2000,1,4905.6,6991.69,113.06,7,,,,ART_Name_000715,ART_Subname_000715,银光庭院：殿堂之路-变化的植物（贝克魔法探测器）,,,0,,,,
20365,0,1,0,2000,1,5008.21,6952.71,106.93,7,,,,ART_Name_000716,ART_Subname_000716,银光庭院：殿堂之路-田做的东西（保护结界装置）,,,0,,,,
20366,0,1,0,2000,1,4987.49,7043.19,100.35,7,,,,ART_Name_000717,ART_Subname_000717,银光庭院：殿堂之路-抓住负责人的方法（塔尔雷恩斯地尔魔法咔哒）,,,0,,,,
20367,0,1,0,2000,1,4921.79,7106.08,106.83,7,,,,ART_Name_000718,ART_Subname_000718,银光庭院：殿堂之路-大锤水田的灵魂石（水田工学大锤捆绑）,,,0,,,,
20368,0,1,0,2000,1,4916.65,7070.36,107,7,,,,ART_Name_000719,ART_Subname_000719,银光庭院：殿堂之路-释放活力吧（温气剂）,,,0,,,,
20369,0,1,0,2000,1,4918.08,7085.36,105.7,7,,,,ART_Name_000720,ART_Subname_000720,银光庭院：殿堂之路-放开那食物（凯尔贝鲁斯食物）,,,0,,,,
20370,0,1,0,2000,1,4773.85,7028.69,119.78,7,,,,ART_Name_000721,ART_Subname_000721,银光庭院：殿堂之路-不祥的魔法装置的功能（古丽阿萨魔法咔哒）,,,0,,,,
20371,0,1,0,2000,1,4772.52,6980.29,119.31,7,,,,ART_Name_000722,ART_Subname_000722,银光庭院：殿堂之路-减弱翅膀的力量吧（翅膀药）,,,0,,,,
20372,0,1,0,2000,1,4700.68,6785.03,120,7,,,,ART_Name_000723,ART_Subname_000723,银光庭院：殿堂之路-滑雪工会,阻止飞龙吧（可靠的计策）,,0,0,,,
20373,0,1,0,2000,1,4850.5,6797.21,126.04,7,,,,ART_Name_000724,ART_Subname_000724,银光庭院：殿堂之路-弱化魔法的装置（苍空装置）,,,0,,,,
20374,0,1,0,2000,1,4867.09,6753.76,126.03,7,,,,ART_Name_000725,ART_Subname_000725,银光庭院：殿堂之路-破坏智慧门不祥的装置（勘察队炸弹）,,,0,,,,
20375,0,1,0,2000,1,4861.95,6770.42,126.03,7,,,,ART_Name_000726,ART_Subname_000726,银光庭院：殿堂之路-安装炸弹（旋转弹）,,,0,,,,
20376,0,1,0,2000,1,6515.22,8802.11,111.79,7,,,,,,月光森林：银河村庄-中和物质吧（普利德米尔中和剂）,,,0,,,,
30000,0,1,0,2500,1,255.59,192.16,162.68,0,,,,ART_Name_000727,ART_Subname_000727,测试用（斯蒂尔普瑞斯地域）,,,0,,,,
30001,0,1,0,2500,1,2271.19,4840.58,162.68,0,,,,ART_Name_000728,ART_Subname_000728,艾林河码头（斯蒂尔普瑞斯）,,,0,,,,
30002,0,1,0,2000,1,1747.68,4745.5,68.45,0,,,,ART_Name_000729,ART_Subname_000729,艾林河码头（尖塔村庄）,,,0,,,,
30003,0,1,0,2000,1,1753.78,5281.65,68.89,0,,,,ART_Name_000730,ART_Subname_000730,艾林河码头（难民营）,,,0,,,,
30004,0,1,0,2000,1,1227.57,5465.34,70.54,0,,,,ART_Name_000731,ART_Subname_000731,艾林河码头（瀑布村）,,,0,,,,
30005,0,1,0,2000,1,1150.21,4972.86,72.46,0,,,,ART_Name_000732,ART_Subname_000732,艾林河码头（柱子之村）,,,0,,,,
30006,0,1,0,2000,1,1576.06,3946.03,148.44,0,,,,ART_Name_000733,ART_Subname_000733,艾林河码头（绿草绿军团驻扎地）,,,0,,,,
30007,0,1,0,2000,1,1785.61,4380.54,105.55,0,,,,ART_Name_000734,ART_Subname_000734,艾林河码头（红岩军团驻扎地）,,,0,,,,
30008,0,1,0,2000,1,1120.43,4968.67,72.46,0,,,,ART_Name_000735,ART_Subname_000735,艾林河码头（柱子之村）,,,0,,,,
30009,0,1,0,2000,1,1571.13,3947.46,148.47,0,,,,ART_Name_000736,ART_Subname_000736,艾林河码头（紧急转移任务）,,,0,,,,
30010,0,1,0,2000,1,1073.18,3912.97,133.52,0,,,,ART_Name_000737,ART_Subname_000737,艾林河码头（古代移动任务）,,,0,,,,
30011,0,1,0,2000,1,1854.16,3415.31,153.85,0,,,,ART_Name_000738,ART_Subname_000738,艾林河码头（克拉德的移动任务）,,,0,,,,
30101,0,1,0,2001,1,176.05,328.62,7.92,0,,,,ART_Name_000739,ART_Subname_000739,艾林河（向舞风峡谷移动）,,,0,,,,
30102,0,1,0,2000,1,1965.15,5031.05,139.6,0,,,,ART_Name_000740,ART_Subname_000740,艾林河（皮尔德鲁在舞风峡谷移动）,,,0,,,,
30103,0,1,0,2002,1,252.57,111.74,32.62,0,,,,ART_Name_000741,ART_Subname_000741,艾林河（向光芒普照的盆地移动）,,,0,,,,
30104,0,1,0,2000,1,1164.71,5071.42,56.59,0,,,,ART_Name_000742,ART_Subname_000742,艾林河（皮尔德在光芒普照的盆地移动）,,,0,,,,
30105,0,1,0,2003,1,176.05,328.62,7.92,0,,,,ART_Name_000743,ART_Subname_000743,艾林河（向满是伤痕的大地移动）,,,0,,,,
30106,0,1,0,2000,1,1560,3959,146,0,,,,ART_Name_000744,ART_Subname_000744,艾林河（皮尔德在满是伤痕的大地移动）,,,0,,,,
30107,0,1,0,2500,1,241.11,236.03,165.3,0,,,,ART_Name_000745,ART_Subname_000745,艾林河（斯蒂尔勒贝里斯卡码头项目）,,,0,,,,
30108,0,1,0,2500,1,374.17,434.93,192.52,0,,,,ART_Name_000746,ART_Subname_000746,艾林河（格林森瞬间移动 滚动）,,,0,,,,
30109,0,1,0,2000,1,1974.8,5030.06,140.28,0,,,,ART_Name_000747,ART_Subname_000747,艾林河（紧急移动 滚动）,,,0,,,,
30110,0,1,0,2500,1,237.32,236.82,165.3,0,,,,ART_Name_000748,ART_Subname_000748,艾林河（克拉仙移动任务）,,,0,,,,
30111,0,1,0,2000,1,2402.74,4351.09,155.03,0,,,,ART_Name_000749,ART_Subname_000749,艾林河（普里莫移动任务）,,,0,,,,
30112,0,1,0,2000,1,2147.86,3229.27,61.12,0,,,,ART_Name_000750,ART_Subname_000750,艾林河（紧急移动任务）,,,0,,,,
30113,0,1,0,2000,1,2184.98,3543.98,45.51,0,,,,ART_Name_000751,ART_Subname_000751,艾林河（诺艾伦移动任务）,,,0,,,,
30114,0,1,0,2000,1,2184.98,3543.98,45.51,0,,,,ART_Name_000752,ART_Subname_000752,艾林河（布里特纳移动）,,,0,,,,
30115,0,1,0,2000,1,2568.15,3704.94,59.98,0,,,,ART_Name_000753,ART_Subname_000753,艾林河（布里特纳移动）,,,0,,,,
30116,0,1,0,2000,1,2827.72,3405.68,12.26,0,,,,ART_Name_000754,ART_Subname_000754,艾林河（紧急移动任务）,,,0,,,,
30117,0,1,0,2500,1,239.22,236.23,165.3,0,,,,ART_Name_000755,ART_Subname_000755,艾林河（在愤怒的山脉斯蒂尔普瑞斯的移动任务）,,,0,,,,
30118,0,1,0,2000,1,3900.27,4160.83,255.67,0,,,,ART_Name_000756,ART_Subname_000756,艾林河（艾丽西亚的水晶珠）,,,0,,,,
30119,0,1,0,2000,1,3945.03,4415.38,249.83,0,,,,ART_Name_000757,ART_Subname_000757,艾林河（诺亚的移动任务）,,,0,,,,
30120,0,1,0,2000,1,3900.27,4160.83,255.67,0,,,,ART_Name_000758,ART_Subname_000758,艾林河（阿内斯的移动任务）,,,0,,,,
30121,0,1,0,2000,1,3501.39,4537.31,188.83,0,,,,ART_Name_000759,ART_Subname_000759,艾林河（警备兵移动任务）,,,0,,,,
30122,0,1,0,2000,1,3412.63,3669.46,70.46,0,,,,ART_Name_000760,ART_Subname_000760,艾林河（瘟疫之雾移动任务）,,,0,,,,
30123,0,1,0,2000,1,3345.79,3822.13,178.53,0,,,,ART_Name_000761,ART_Subname_000761,艾林河（洛萨的移动任务）,,,0,,,,
30124,0,1,0,2000,1,3296.19,3703.04,74.27,0,,,,ART_Name_000762,ART_Subname_000762,艾林河（死亡之谷移动任务）,,,0,,,,
30125,0,1,0,2000,1,3360.02,3822.04,178.53,0,,,,ART_Name_000763,ART_Subname_000763,艾林河（黎安的移动任务）,,,0,,,,
30126,0,1,0,2000,1,3618.05,3935.8,213.86,0,,,,ART_Name_000764,ART_Subname_000764,艾林河（特蕾莎的水晶珠）,,,0,,,,
30127,0,1,0,2500,1,236.84,235.65,165.3,0,,,,ART_Name_000765,ART_Subname_000765,艾林河（雷伊的移动任务）,,,0,,,,
30128,0,1,0,2000,1,3689.07,3300.15,240.95,0,,,,ART_Name_000766,ART_Subname_000766,艾林河（埃丁的移动任务）,,,0,,,,
30129,0,1,0,2000,1,3849.77,3420.46,216.53,0,,,,ART_Name_000767,ART_Subname_000767,艾林河（紧急移动任务）,,,0,,,,
30130,0,1,0,2000,1,3689.07,3300.15,240.95,0,,,,ART_Name_000768,ART_Subname_000768,艾林河（坤的移动任务）,,,0,,,,
30131,0,1,0,2000,1,2728.99,4859.75,174.9,0,,,,ART_Name_000769,ART_Subname_000769,艾林河（斯蒂尔普瑞斯的移动任务）,,,0,,,,
30132,0,1,0,2004,1,62.29,107.2,-8.38,0,,,,ART_Name_000770,ART_Subname_000770,艾林河（战场移动滚动）,,,0,,,,
30133,0,1,0,2000,1,2223.41,3544.98,43.77,0,,,,ART_Name_000771,ART_Subname_000771,艾林河（字段恢复滚动）,,,0,,,,
30134,0,1,0,2005,1,474.27,55.47,-21.35,0,,,,ART_Name_000772,ART_Subname_000772,艾林河（战场移动滚动）,,,0,,,,
30135,0,1,0,2000,1,3014.59,4185.35,156.35,0,,,,ART_Name_000773,ART_Subname_000773,艾林河（字段恢复滚动）,,,0,,,,
30136,0,1,0,2000,1,1969.72,5021.77,140.21,0,,,,ART_Name_000774,ART_Subname_000774,艾林河（克罗乌尔的移动任务）,,,0,,,,
30137,0,1,0,2000,1,1759.73,5309.07,72.02,0,,,,ART_Name_000775,ART_Subname_000775,艾林河（布莱特的移动任务）,,,0,,,,
30138,0,1,0,2500,1,239.29,236.81,165.31,0,,,,ART_Name_000776,ART_Subname_000776,艾林河（紧急转移任务）,,,0,,,,
30139,0,1,0,2006,1,157.95,286.51,5.64,0,,,,ART_Name_000777,ART_Subname_000777,艾林河（雷纳的移动任务）,,,0,,,,
30140,0,1,0,2000,1,3837.36,5096.72,291.88,0,,,,ART_Name_000778,ART_Subname_000778,艾林河（艾林河移动任务）,,,0,,,,
30141,0,1,0,2000,1,2525.24,5406.12,20.97,0,,,,,,艾林河（利特拉的移动任务）,,,0,,,,
30142,0,1,0,2000,1,2279.24,5706.03,12.13,0,,,,,,艾林河（雷拉的移动任务）,,,0,,,,
30143,0,1,0,2000,1,1719.21,5569.82,72.01,0,,,,,,艾林河（安代乐的移动任务）,,,0,,,,
30144,0,1,0,2000,1,2315.85,6045.47,26.25,0,,,,,,艾林河（布莱德的移动任务）,,,0,,,,
30145,0,1,0,2001,1,184.67,329.27,8.21,0,,,,,,艾林河（舞风峡谷移动任务）,,,0,,,,
30146,0,1,0,2000,1,2283.48,5702.26,12.13,0,,,,,,艾林河（皮尔德返回任务）,,,0,,,,
30500,0,1,0,2501,1,260.64,108.17,142.78,0,,,,ART_Name_000779,ART_Subname_000779,测试用（班迪路娜地域）,,,0,,,,
