TID,Type,LoadType,ContentsLimit,Name,EngName,Channel,MapX,MapY,MapSizeX,MapSizeY,WorldProperty,RebirthTime,Human_Pos,Human_Pos1,Human_Pos2,Human_Invasion,Human_Radius,MoonElf_Pos,MoonElf_Pos1,MoonElf_Pos2,MoonElf_Invasion,MoonElf_Radius,DragonScion_Pos,DragonScion_Pos1,DragonScion_Pos2,DragonScion_Invasion,DragonScion_Radius,Orc_Pos,Orc_Pos1,Orc_Pos2,Orc_Invasion,Orc_Radius,SunFilePath,Desc
4490,4,1,3,光之地下庭院(普通),Warmlight_Garden,0,1,1,512,512,4490,0,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,sun_roomlight.nif,删除 即时
4491,4,1,3,光之地下庭院(困难),Warmlight_Garden,0,1,1,512,512,4490,0,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,sun_roomlight.nif,删除 即时
4492,4,1,3,光之地下庭院(极困难),Warmlight_Garden,0,1,1,512,512,4490,0,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,sun_roomlight.nif,删除 即时
4493,4,1,3,光之地下庭院(炼狱),Warmlight_Garden,0,1,1,512,512,4493,0,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,353.01|52.25|18.42,353.01|50.25|18.42,351.01|52.25|18.42,,2,sun_roomlight.nif,删除 即时
4500,4,1,3,倒塌的梦之缝隙(普通),GapofDreams,0,1,1,512,512,4500,0,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,sun_roomlight.nif,纷争地区即时(高级 可用删除)
4501,4,1,3,倒塌的梦之缝隙(困难),GapofDreams,0,1,1,512,512,4500,0,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,sun_roomlight.nif,纷争地区即时(高级 可用删除)
4502,4,1,3,倒塌的梦之缝隙(极困难),GapofDreams,0,1,1,512,512,4500,0,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,sun_roomlight.nif,纷争地区即时(高级 可用删除)
4503,4,1,3,倒塌的梦之缝隙(炼狱),GapofDreams,0,1,1,512,512,4503,0,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,238.68|173.59|7.10,238.68|173.59|7.10,238.68|173.59|7.10,,2,sun_roomlight.nif,纷争地区即时(高级 可用删除)
4510,4,1,3,蓝光洞窟(普通),PurpleCave,0,1,1,512,512,4510,0,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,sun_roomlight.nif,纷争地区即时(高级 可用删除)
4511,4,1,3,蓝光洞窟(困难),PurpleCave,0,1,1,512,512,4510,0,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,sun_roomlight.nif,纷争地区即时(高级 可用删除)
4512,4,1,3,蓝光洞窟(极困难),PurpleCave,0,1,1,512,512,4510,0,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,sun_roomlight.nif,纷争地区即时(高级 可用删除)
4513,4,1,3,蓝光洞窟(炼狱),PurpleCave,0,1,1,512,512,4513,0,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,413.72|84.67|113.22,413.72|82.67|113.22,411.72|84.67|113.22,,2,sun_roomlight.nif,纷争地区即时(高级 可用删除)
4700,4,1,3,恶魔祭坛(普通),Nightmareofthealtar,0,2,1,512,512,4700,0,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,sun_roomlight.nif,"即时攻略(高级, 可用删除)"
4701,4,1,3,恶魔祭坛(困难),Nightmareofthealtar,0,2,1,512,512,4700,0,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,sun_roomlight.nif,"即时攻略(高级, 可用删除)"
4702,4,1,3,恶魔祭坛(极困难),Nightmareofthealtar,0,2,1,512,512,4700,0,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,sun_roomlight.nif,"即时攻略(高级, 可用删除)"
4703,4,1,3,恶魔祭坛(炼狱),Nightmareofthealtar,0,2,1,512,512,4703,0,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,803.70|188.30|23.14,803.70|186.30|23.14,801.70|188.30|23.14,,5,sun_roomlight.nif,"即时攻略(高级, 可用删除)"
4800,4,1,3,Lv.5[组队]扭曲的时光洞窟(普通),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4801,4,1,3,Lv.5[组队]扭曲的时光洞窟(困难),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4802,4,1,3,Lv.5[组队]扭曲的时光洞窟(极困难),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4803,4,1,3,Lv.5[组队]扭曲的时光洞窟(炼狱),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4810,4,1,3,Lv.10[组队]扭曲的时光花园 (普通),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4811,4,1,3,Lv.10[组队]扭曲的时光花园 (困难),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4812,4,1,3,Lv.10[组队]扭曲的时光花园 (极困难),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4813,4,1,3,Lv.10[组队]扭曲的时光花园 (炼狱),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4820,4,1,3,Lv.15[组队]扭曲的时光洞窟(普通),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4821,4,1,3,Lv.15[组队]扭曲的时光洞窟(困难),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4822,4,1,3,Lv.15[组队]扭曲的时光洞窟(极困难),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4823,4,1,3,Lv.15[组队]扭曲的时光洞窟(炼狱),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4830,4,1,3,Lv.20[组队]扭曲的时光花园 (普通),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4831,4,1,3,Lv.20[组队]扭曲的时光花园 (困难),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4832,4,1,3,Lv.20[组队]扭曲的时光花园 (极困难),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4833,4,1,3,Lv.20[组队]扭曲的时光花园 (炼狱),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4840,4,1,3,Lv.25[组队]扭曲的时光洞窟(普通),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4841,4,1,3,Lv.25[组队]扭曲的时光洞窟(困难),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4842,4,1,3,Lv.25[组队]扭曲的时光洞窟(极困难),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4843,4,1,3,Lv.25[组队]扭曲的时光洞窟(炼狱),Time_Caverns,0,1,1,512,512,4800,0,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,253.44|74.89|204.04,254.63|52.78|202.98,254.63|52.78|202.98,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4850,4,1,3,Lv.30[组队]扭曲的时光花园 (普通),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4851,4,1,3,Lv.30[组队]扭曲的时光花园 (困难),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4852,4,1,3,Lv.30[组队]扭曲的时光花园 (极困难),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4853,4,1,3,Lv.30[组队]扭曲的时光花园 (炼狱),Time_Forests,0,1,1,512,512,4810,0,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,431.62|22.22|0,445.77|22.24|0,445.77|22.24|0,,5,sun_roomlight.nif,组队即时-扭曲的时间洞窟
4900,4,1,3,克罗西亚的竞技场,ColosseumOfGrasia,0,1,1,512,512,4900,0,255.65|189.54|-4.84,255.65|189.54|-4.84,255.65|189.54|-4.84,,5,255.65|189.54|-4.84,255.65|189.54|-4.84,255.65|189.54|-4.84,,5,255.65|189.54|-4.84,255.65|189.54|-4.84,255.65|189.54|-4.84,,5,255.65|189.54|-4.84,255.65|189.54|-4.84,255.65|189.54|-4.84,,5,sun_roomlight.nif,克罗西亚的竞技场
10000,0,1,0,测试地图,Test,0,1,1,512,512,10000,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_roomlight.nif,测试地图
10001,0,1,0,人物工具地图,Character,0,1,1,64,64,10001,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_default_a.nif,工具背景
10002,0,1,0,测试用 字段,testFld,0,1,1,512,512,10002,0,232|340|0,232|340|0,232|340|0,,5,232|340|0,232|340|0,232|340|0,,5,232|340|0,232|340|0,232|340|0,,5,232|340|0,232|340|0,232|340|0,,5,sun_roomlight.nif,贝德尔克劳德
10003,2,1,0,GM 地图,Occupation,0,1,1,512,512,10003,0,248.25|246.97|-4.82,248.25|246.97|-4.82,248.25|246.97|-4.82,,5,248.25|246.97|-4.82,248.25|246.97|-4.82,248.25|246.97|-4.82,,5,248.25|246.97|-4.82,248.25|246.97|-4.82,248.25|246.97|-4.82,,5,248.25|246.97|-4.82,248.25|246.97|-4.82,248.25|246.97|-4.82,,5,sun_roomlight.nif,贝德尔克劳德
4905,2,1,0,大规模战场,Test_Battle,0,2,2,512,512,4905,0,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,sun_roomlight.nif,删除 即时
10004,2,0,0,测试用(LevelDesign01),Test,0,1,1,512,512,10004,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_roomlight.nif,测试地图
10005,2,0,0,测试用(LevelDesign02),Test,0,1,1,512,512,10005,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_roomlight.nif,测试地图
